2024-10-25 20:41:46.607 -05 [11000] FATAL:  la autentificaci�n password fall� para el usuario �postgres�
2024-10-25 20:41:46.607 -05 [11000] DETALLE:  La conexi�n coincidi� con el archivo �C:/Program Files/PostgreSQL/17/data/pg_hba.conf� l�nea 117: �host    all             all             ::1/128                 scram-sha-256�
2024-10-25 20:42:31.121 -05 [24196] ERROR:  error de sintaxis en o cerca de «cls» en carácter 1
2024-10-25 20:42:31.121 -05 [24196] SENTENCIA:  cls
	cls;
2024-10-25 20:42:34.554 -05 [24196] ERROR:  error de sintaxis en o cerca de «clear» en carácter 1
2024-10-25 20:42:34.554 -05 [24196] SENTENCIA:  clear;
2024-10-25 20:42:42.770 -05 [24196] ERROR:  error de sintaxis en o cerca de «l» en carácter 1
2024-10-25 20:42:42.770 -05 [24196] SENTENCIA:  l
	;
2024-10-25 20:46:35.647 -05 [6412] LOG:  empezando checkpoint: time
2024-10-25 20:48:23.592 -05 [6412] LOG:  checkpoint completo: escritos 978 b�fers (6.0%); 1 archivos WAL a�adidos, 0 eliminados, 0 reciclados; write=107.488 s, sync=0.315 s, total=107.948 s; archivos sincronizados=306, m�s largo=0.017 s, promedio=0.002 s; distancia=4549 kB, estimaci�n=4549 kB; lsn=0/1F077C0, lsn de redo=0/1F07730
2024-10-25 21:16:35.670 -05 [6412] LOG:  empezando checkpoint: time
2024-10-25 21:16:47.765 -05 [6412] LOG:  checkpoint completo: escritos 107 b�fers (0.7%); 0 archivos WAL a�adidos, 0 eliminados, 0 reciclados; write=11.968 s, sync=0.106 s, total=12.095 s; archivos sincronizados=90, m�s largo=0.017 s, promedio=0.002 s; distancia=425 kB, estimaci�n=4136 kB; lsn=0/1F71EF8, lsn de redo=0/1F71E68
2024-10-25 22:38:19.103 -05 [15508] ERROR:  carácter con secuencia de bytes 0x81 en codificación «WIN1252» no tiene equivalente en la codificación «UTF8»
2024-10-25 22:38:19.113 -05 [15508] ERROR:  carácter con secuencia de bytes 0x81 en codificación «WIN1252» no tiene equivalente en la codificación «UTF8»
2024-10-25 22:38:19.129 -05 [15508] ERROR:  no existe la relación «visitantes» en carácter 13
2024-10-25 22:38:19.129 -05 [15508] SENTENCIA:  INSERT INTO VISITANTES (Nombre, FechaVista) VALUES ('Godiva Silverlock', '2011-02-22');
2024-10-25 22:38:19.139 -05 [15508] ERROR:  no existe la relación «visitantes» en carácter 13
2024-10-25 22:38:19.139 -05 [15508] SENTENCIA:  INSERT INTO VISITANTES (Nombre, FechaVista) VALUES ('Jacquette Fagence', '2013-04-13');
2024-10-25 22:38:19.148 -05 [15508] ERROR:  no existe la relación «visitantes» en carácter 13
2024-10-25 22:38:19.148 -05 [15508] SENTENCIA:  INSERT INTO VISITANTES (Nombre, FechaVista) VALUES ('Reube Cheverton', '2012-11-17');
2024-10-25 22:38:19.167 -05 [15508] ERROR:  no existe la relación «visitantes» en carácter 13
2024-10-25 22:38:19.167 -05 [15508] SENTENCIA:  INSERT INTO VISITANTES (Nombre, FechaVista) VALUES ('Leelah Caldroni', '2022-08-17');
2024-10-25 22:38:19.181 -05 [15508] ERROR:  no existe la relación «visitantes» en carácter 13
